Unnamed: 0,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Female,Male,Loyal Customer,disloyal Customer,Business travel,Personal Travel,Business,Eco,Eco Plus,satisfaction
85,58584,31,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0.0,1,0,1,0,0,1,1,0,0,neutral or dissatisfied
86,50472,37,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
87,102623,50,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0.0,1,0,1,0,1,0,1,0,0,satisfied
88,31533,21,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
89,42287,53,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0.0,1,0,1,0,1,0,0,1,0,neutral or dissatisfied
90,70467,45,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11.0,0,1,1,0,1,0,1,0,0,satisfied
91,20461,42,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
92,113346,59,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
93,115566,54,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95.0,1,0,1,0,1,0,0,1,0,neutral or dissatisfied
94,119896,46,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0.0,1,0,1,0,1,0,1,0,0,satisfied
95,88853,52,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0,1,0,1,0,0,1,0,0,1,neutral or dissatisfied
96,24895,38,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
97,31122,35,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
98,91231,41,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
99,61426,40,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0.0,1,0,0,1,1,0,1,0,0,neutral or dissatisfied
100,68873,36,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
101,125701,67,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
102,94999,38,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0.0,1,0,1,0,0,1,0,1,0,satisfied
103,56694,50,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
104,62010,50,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
105,95868,54,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66.0,0,1,1,0,1,0,1,0,0,satisfied
106,123064,56,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113.0,0,1,1,0,1,0,1,0,0,satisfied
107,103418,38,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
108,73456,7,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
109,8851,32,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0.0,1,0,1,0,1,0,1,0,0,satisfied
110,64241,45,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7.0,0,1,1,0,1,0,0,1,0,neutral or dissatisfied
111,81723,25,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24.0,0,1,0,1,1,0,0,1,0,neutral or dissatisfied
112,88237,45,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
113,50619,34,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
114,54444,20,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0,0,1,1,0,0,1,0,0,1,neutral or dissatisfied
115,64765,36,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
116,15941,36,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0.0,0,1,0,1,1,0,0,1,0,neutral or dissatisfied
117,14965,27,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
118,36897,40,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
119,127954,31,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4.0,0,1,1,0,1,0,1,0,0,satisfied
120,27872,25,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0.0,0,1,1,0,1,0,0,0,1,satisfied
121,35854,42,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
122,14527,45,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40.0,1,0,1,0,1,0,0,1,0,satisfied
123,47021,59,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11.0,0,1,1,0,0,1,1,0,0,neutral or dissatisfied
124,11224,34,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
125,3921,22,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
126,69463,21,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
127,47050,26,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10.0,0,1,1,0,1,0,1,0,0,neutral or dissatisfied
128,21970,37,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86.0,0,1,1,0,1,0,1,0,0,satisfied
129,30046,38,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
130,1256,17,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
131,73813,15,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0,0,1,1,0,0,1,0,0,1,neutral or dissatisfied
132,110928,53,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
133,102981,39,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88.0,0,1,0,1,1,0,1,0,0,neutral or dissatisfied
134,61571,40,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
135,3796,28,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0,1,0,0,1,1,0,0,0,1,neutral or dissatisfied
136,73906,27,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0.0,1,0,0,1,1,0,1,0,0,neutral or dissatisfied
137,74090,41,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
138,76645,7,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
139,100462,48,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1.0,0,1,0,1,1,0,1,0,0,neutral or dissatisfied
140,54164,13,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0.0,0,1,1,0,1,0,0,1,0,neutral or dissatisfied
141,6147,48,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
142,1262,49,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
143,20310,26,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0.0,0,1,0,1,1,0,1,0,0,satisfied
144,46896,22,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
145,7237,53,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178.0,1,0,1,0,1,0,1,0,0,neutral or dissatisfied
146,44293,43,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,1,0,1,0,1,0,0,1,0,satisfied
147,52496,56,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
148,68263,69,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
149,5289,59,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0.0,0,1,1,0,0,1,0,1,0,satisfied
150,109359,56,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0.0,1,0,1,0,1,0,1,0,0,satisfied
151,94988,11,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0.0,0,1,1,0,0,1,0,1,0,satisfied
152,53605,25,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78.0,1,0,1,0,1,0,0,1,0,satisfied
153,11005,29,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0.0,1,0,0,1,1,0,0,1,0,satisfied
154,14794,48,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0.0,1,0,1,0,1,0,0,1,0,satisfied
155,49480,42,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
156,120440,15,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0,0,1,0,1,1,0,0,1,0,neutral or dissatisfied
157,55823,49,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0.0,1,0,0,1,1,0,1,0,0,neutral or dissatisfied
158,107792,41,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18.0,0,1,1,0,1,0,1,0,0,satisfied
159,80531,43,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
160,128145,60,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
161,63370,42,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0.0,1,0,1,0,0,1,0,1,0,satisfied
162,12452,8,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
163,16145,42,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72.0,1,0,1,0,1,0,0,1,0,satisfied
164,44418,18,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0,0,1,0,1,1,0,0,0,1,neutral or dissatisfied
165,95746,47,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
166,41134,27,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
167,3214,67,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0,1,0,1,0,0,1,0,0,1,neutral or dissatisfied
168,74101,38,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0.0,0,1,0,1,1,0,1,0,0,satisfied
169,106220,20,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
170,88134,60,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0.0,1,0,1,0,1,0,1,0,0,satisfied
171,64475,23,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1.0,0,1,0,1,1,0,1,0,0,satisfied
172,123812,25,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0.0,0,1,0,1,1,0,1,0,0,neutral or dissatisfied
173,88893,38,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
174,31244,40,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4.0,1,0,1,0,1,0,1,0,0,satisfied
175,97762,19,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
176,59851,61,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0.0,1,0,1,0,1,0,1,0,0,satisfied
177,25137,44,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
178,18412,22,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
179,87192,8,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
180,127062,45,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16.0,1,0,1,0,1,0,1,0,0,neutral or dissatisfied
181,112169,46,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25.0,0,1,1,0,0,1,0,1,0,satisfied
182,127798,54,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77.0,1,0,1,0,1,0,1,0,0,neutral or dissatisfied
183,91778,62,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
184,42609,25,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
185,67482,32,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
186,91108,65,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
187,102318,40,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0.0,0,1,0,1,1,0,1,0,0,neutral or dissatisfied
188,51281,30,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0.0,1,0,1,0,1,0,0,0,1,satisfied
189,6528,67,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
190,121232,51,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
191,72478,47,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3.0,1,0,1,0,1,0,1,0,0,satisfied
192,122788,38,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0.0,1,0,1,0,1,0,0,1,0,neutral or dissatisfied
193,5528,54,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
194,107726,57,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
